"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","LocID","n","n0"
"299",18,6,353,10,"Fish",15,"Self-polishing","Good","ID",1,1
"300",18,6,353,10,"Fish",15,"Self-polishing","Good","IQ",1,1
"301",18,6,353,10,"Fish",15,"Self-polishing","Good","DC",1,1
"302",19,7,271,15,"Fish",15,"Ablative","Good","HAA",2,2
"303",19,7,271,15,"Fish",15,"Ablative","Good","PA",1,1
"304",19,7,271,15,"Fish",15,"Ablative","Good","IB",7,1
"305",19,7,271,15,"Fish",15,"Ablative","Good","HA",5,1
"306",19,7,271,15,"Fish",15,"Ablative","Good","IW",1,1
"307",19,7,271,15,"Fish",15,"Ablative","Good","HAC",1,1
"308",19,7,271,15,"Fish",15,"Ablative","Good","IH",1,1
"309",19,7,271,15,"Fish",15,"Ablative","Good","HX",1,0
"310",19,7,271,15,"Fish",15,"Ablative","Good","IP",1,1
"311",19,7,271,15,"Fish",15,"Ablative","Good","IN",2,0
"312",19,7,271,15,"Fish",15,"Ablative","Good","HAB",2,2
"313",19,7,271,15,"Fish",15,"Ablative","Good","PG",1,1
"314",19,7,271,15,"Fish",15,"Ablative","Good","HH",2,0
"315",19,7,271,15,"Fish",15,"Ablative","Good","II",1,1
"316",19,7,271,15,"Fish",15,"Ablative","Good","IV",1,1
"317",19,7,271,15,"Fish",15,"Ablative","Good","HP",1,1
"318",19,7,271,15,"Fish",15,"Ablative","Good","PB",1,1
"319",19,7,271,15,"Fish",15,"Ablative","Good","PJ",2,0
"320",19,7,271,15,"Fish",15,"Ablative","Good","PN",1,1
"321",19,7,271,15,"Fish",15,"Ablative","Good","PM",1,1
"322",19,7,271,15,"Fish",15,"Ablative","Good","IQ",1,1
"323",19,7,271,15,"Fish",15,"Ablative","Good","PH",1,0
"324",19,7,271,15,"Fish",15,"Ablative","Good","HF",2,0
"325",20,11,41,NA,"Yacht",2,"Hard","Very Poor","DA",1,1
"326",20,11,41,NA,"Yacht",2,"Hard","Very Poor","PA",1,1
"327",20,11,41,NA,"Yacht",2,"Hard","Very Poor","HA",4,3
"328",20,11,41,NA,"Yacht",2,"Hard","Very Poor","PB",1,1
"329",20,11,41,NA,"Yacht",2,"Hard","Very Poor","HK",1,1
"330",20,11,41,NA,"Yacht",2,"Hard","Very Poor","IW",1,1
"331",20,11,41,NA,"Yacht",2,"Hard","Very Poor","IT",1,1
"332",20,11,41,NA,"Yacht",2,"Hard","Very Poor","IH",1,1
"333",20,11,41,NA,"Yacht",2,"Hard","Very Poor","IU",1,1
"334",20,11,41,NA,"Yacht",2,"Hard","Very Poor","HD",1,1
"335",20,11,41,NA,"Yacht",2,"Hard","Very Poor","DG",1,1
"336",20,11,41,NA,"Yacht",2,"Hard","Very Poor","HH",1,1
"337",20,11,41,NA,"Yacht",2,"Hard","Very Poor","PE",1,1
"338",20,11,41,NA,"Yacht",2,"Hard","Very Poor","PM",1,1
"339",20,11,41,NA,"Yacht",2,"Hard","Very Poor","PN",1,1
"340",20,11,41,NA,"Yacht",2,"Hard","Very Poor","IV",1,1
"341",20,11,41,NA,"Yacht",2,"Hard","Very Poor","HP",2,2
"342",20,11,41,NA,"Yacht",2,"Hard","Very Poor","PJ",2,2
"343",20,11,41,NA,"Yacht",2,"Hard","Very Poor","IB",3,3
"344",21,425,107,27.5,"Yacht",2,"Ablative","Good","IW",1,1
"345",21,425,107,27.5,"Yacht",2,"Ablative","Good","IV",1,1
"346",21,425,107,27.5,"Yacht",2,"Ablative","Good","PA",1,0
"347",21,425,107,27.5,"Yacht",2,"Ablative","Good","PH",2,0
"348",21,425,107,27.5,"Yacht",2,"Ablative","Good","HY",1,1
"349",21,425,107,27.5,"Yacht",2,"Ablative","Good","PB",1,0
"350",21,425,107,27.5,"Yacht",2,"Ablative","Good","IH",1,1
"351",21,425,107,27.5,"Yacht",2,"Ablative","Good","HA",4,0
"352",21,425,107,27.5,"Yacht",2,"Ablative","Good","HD",1,0
"353",21,425,107,27.5,"Yacht",2,"Ablative","Good","IF",1,1
"354",21,425,107,27.5,"Yacht",2,"Ablative","Good","PM",1,1
"355",21,425,107,27.5,"Yacht",2,"Ablative","Good","HP",2,0
"356",21,425,107,27.5,"Yacht",2,"Ablative","Good","PG",1,0
"357",21,425,107,27.5,"Yacht",2,"Ablative","Good","HH",1,0
"358",21,425,107,27.5,"Yacht",2,"Ablative","Good","HAB",4,0
"359",21,425,107,27.5,"Yacht",2,"Ablative","Good","II",1,1
"360",21,425,107,27.5,"Yacht",2,"Ablative","Good","PJ",2,0
"361",21,425,107,27.5,"Yacht",2,"Ablative","Good","PN",1,1
"362",22,5,719,300,"Fish",15,NA,NA,"HD",1,0
"363",22,5,719,300,"Fish",15,NA,NA,"PH",1,0
"364",22,5,719,300,"Fish",15,NA,NA,"ID",1,1
