"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","wetWeight","LocID","Location","LocCode","samLab","wetWeight1","wetWeight2"
"192",8,4,249,11.5,"Yacht",2,NA,NA,8.04,"HK","Wet Hull",1,"Paddle wheel scrape",TRUE,FALSE
"193",8,4,249,11.5,"Yacht",2,NA,NA,11.48,"HD","Wet Hull",1,"Engine intake (scrape)",TRUE,FALSE
"194",8,4,249,11.5,"Yacht",2,NA,NA,12.05,"PB","Propeller",2,"Propeller",TRUE,FALSE
"195",8,4,249,11.5,"Yacht",2,NA,NA,13.89,"PA","Propeller",2,"Propeller Shaft",TRUE,FALSE
"196",8,4,249,11.5,"Yacht",2,NA,NA,124.06,"PJ","Rudder",2,"Rudder Starboard",TRUE,FALSE
"197",8,4,249,11.5,"Yacht",2,NA,NA,138.1,"HA","Wet Hull",1,"Hull Q3 Starboard bow",TRUE,FALSE
"198",8,4,249,11.5,"Yacht",2,NA,NA,139.23,"HP","Wet Hull",1,"Hull Q1 Starboard stern keel",TRUE,FALSE
"199",8,4,249,11.5,"Yacht",2,NA,NA,144.42,"HP","Wet Hull",1,"Hull Q6 Port keel",TRUE,FALSE
"200",8,4,249,11.5,"Yacht",2,NA,NA,145.16,"HA","Wet Hull",1,"Hull Q5 Port midship",TRUE,FALSE
"201",8,4,249,11.5,"Yacht",2,NA,NA,162.4,"HA","Wet Hull",1,"Hull Q2 Starboard midship",TRUE,FALSE
"202",8,4,249,11.5,"Yacht",2,NA,NA,199.84,"HA","Wet Hull",1,"Hull Q4 Port bow",TRUE,FALSE
"203",8,4,249,11.5,"Yacht",2,NA,NA,210.21,"PJ","Rudder",2,"Rudder Port",TRUE,FALSE
"204",9,1,251,35,"Yacht",2,"Self-polishing",NA,0.5,"HC","Wet Hull",1,"Bung (Starboard #6)",FALSE,TRUE
"205",9,1,251,35,"Yacht",2,"Self-polishing",NA,0.5,"IB","Internal spaces",3,"Cockpit outlet",FALSE,TRUE
